1657843200,1.14891,5.99415,-3.79189,0.0,0.0.1,0.0.2,0.0.3,0.0.4,0.0.5,0.0.6,0.0.7,0.0.8,0.0.9,0.0.10,0.0.11,0.0.12,0.0.13,0.0.14,0.0.15,0.0.16,0.0.17,0.0.18,0.0.19,0.0.20,0.0.21,0.0.22,0.0.23,0.0.24
1657893000,-2.1168,4.47754,-3.77699,78.0551,0.231726,46.3704,17.3709,17.7125,0.231726,0.231726,0.231726,24.2522,0.231726,42.6935,44.1626,92.0011,81.2803,124.672,133.978,239.271,211.479,354.55,390.72,404.891,455.634,475.447,467.778,502.1
1657893600,-0.323725,5.09665,-3.98944,88.2387,0.231726,52.8132,25.7544,22.9328,0.231726,0.231726,0.231726,19.1803,0.231726,33.856,33.2203,76.03,64.5293,106.037,113.154,209.531,190.216,328.78,370.034,388.636,449.801,475.505,474.443,506.769
1657894200,-1.25548,5.0234,-3.64914,84.3858,0.231726,51.3297,18.746,19.1274,0.231726,0.231726,0.231726,20.6713,0.231726,35.5879,36.7396,81.8172,70.1355,113.14,121.321,220.682,198.192,339.744,378.113,394.385,450.857,473.249,465.37,502.336
1657894800,-2.69523,3.16801,-4.7517,75.766,0.231726,45.2961,15.852,15.6977,0.231726,0.231726,0.231726,23.5935,0.231726,45.6987,47.856,94.5044,85.163,127.917,138.04,243.146,214.401,358.634,392.109,402.367,449.722,467.972,460.611,495.468
1657895400,-1.94831,4.49009,-3.2391,71.0717,0.231726,44.1463,13.8477,16.2112,0.231726,0.271779,0.231726,24.8761,0.231726,49.6301,52.6036,97.6007,88.3083,131.501,140.197,244.774,215.738,358.857,393.555,403.238,451.655,468.281,460.804,495.846
1657896000,-2.79226,5.28247,-2.44884,86.5125,0.231726,51.4302,23.0767,21.1488,0.231726,0.231726,0.231726,20.0579,0.231726,35.2551,35.7647,80.5158,69.1884,112.944,119.09,214.402,192.285,328.605,364.031,381.56,442.533,465.414,462.103,499.571
1657896600,-3.37618,4.49568,-2.74206,78.257,0.231726,46.9318,16.9233,17.1635,0.231726,0.231726,0.231726,23.0153,0.231726,39.7737,41.6289,91.2507,80.3522,123.242,129.526,230.929,202.236,342.449,380.698,394.75,448.479,469.302,464.032,498.654
1657897200,-2.88021,4.65395,-3.00927,83.7767,0.231726,50.5904,21.7649,19.2494,0.231726,0.231726,0.231726,20.8346,0.231726,36.8258,37.5366,83.9645,73.6613,115.99,123.222,224.58,197.666,336.935,374.002,390.061,445.976,467.761,464.46,500.08
1657897800,-2.78184,-3.93724,-2.77114,77.0162,0.231726,45.6141,16.6158,16.9048,0.231726,0.231726,0.231726,23.3356,0.231726,46.2404,47.6034,92.8626,83.9384,127.018,136.291,243.244,213.17,358.888,392.544,403.208,450.643,469.043,461.801,495.327
1657898400,-3.69989,2.85135,-4.63998,90.7981,0.231726,58.0893,26.9774,23.7333,0.231726,0.231726,0.231726,18.8703,0.231726,33.5975,31.3932,73.3778,55.7102,98.4202,105.252,201.783,178.527,315.494,353.903,372.886,437.591,464.98,462.79,500.727
1657899000,-2.77118,5.08568,-3.73256,97.8857,0.231726,63.7034,33.6457,29.4831,0.231726,0.231726,0.231726,13.4129,0.231726,31.7524,29.1721,68.4904,45.7734,91.0923,94.5477,193.403,165.414,302.453,339.606,359.524,434.171,467.173,469.722,509.5
1657899600,-0.78082,5.61632,-3.86298,100.664,0.231726,67.9371,34.3876,34.3032,0.231726,0.231726,0.231726,13.9322,0.231726,27.6399,24.786,61.0001,38.1999,83.0329,86.4515,183.762,158.758,293.391,333.029,356.659,434.872,469.749,472.708,509.567
1657900200,-0.791586,5.16811,-4.64855,99.9286,0.231726,67.4111,34.6759,35.0142,0.231726,0.231726,0.231726,16.8114,0.231726,28.1636,24.829,61.7851,38.3727,84.2041,87.5917,184.46,161.731,297.244,338.661,362.567,437.493,469.573,471.468,508.257
1657900800,0.0134243,6.86854,-2.20262,110.446,0.231726,77.7103,41.0292,42.7544,0.420297,0.348127,0.231726,11.8867,0.231726,24.949,20.8222,52.3712,28.965,67.2805,68.3732,166.885,138.566,271.834,311.895,338.038,424.596,465.042,471.962,512.776
1657901400,-0.225174,5.29886,-3.64614,77.9743,0.231726,46.8406,17.3002,16.7144,0.231726,0.231726,0.231726,24.5059,0.231726,40.0803,41.6804,90.6986,80.1129,124.1,133.505,237.077,208.115,353.699,388.481,404.807,458.752,479.801,473.931,507.546
1657902000,-0.723751,3.66572,-4.77694,69.2547,0.231726,46.3784,14.7374,13.3471,0.231726,0.231726,0.231726,24.068,0.231726,41.0183,46.8938,94.9744,84.7637,127.555,137.04,242.574,210.209,355.355,392.112,405.376,456.995,477.169,469.812,502.735
1657902600,0.534401,6.02552,-2.99044,97.8959,0.231726,62.4669,34.389,27.2121,0.278344,0.306675,0.231726,16.5454,0.231726,31.5901,29.1817,69.3597,47.1861,90.838,93.6484,191.735,164.441,301.913,341.892,364.18,440.003,472.793,475.865,513.053
1657903200,0.528525,6.42906,-3.19925,119.086,0.231726,93.4266,53.7416,54.488,1.60306,1.27613,0.231726,7.74304,0.231726,23.7396,17.2403,35.5992,22.4426,54.1544,47.4358,150.724,114.8,242.529,278.069,299.688,397.947,454.022,472.652,515.589
1657903800,-0.193523,5.83837,-3.75076,97.4488,0.231726,62.4408,33.1527,27.8621,0.236549,0.231726,0.231726,17.246,0.231726,31.6606,29.3901,68.7996,48.2037,94.2337,98.6248,194.263,167.846,303.873,343.533,371.683,443.979,475.622,479.566,513.781
1657904400,0.704336,6.6074,-2.41561,90.3908,0.231726,54.8108,27.4759,25.0117,0.231726,0.231726,0.231726,18.6163,0.231726,33.0549,31.7104,73.5609,55.7978,98.6439,102.969,198.763,174.815,312.492,351.365,373.77,445.548,479.734,483.267,516.93
1657905000,0.578108,6.20187,-3.56573,88.4669,0.231726,54.315,22.2924,21.8368,0.231726,0.231726,0.231726,18.0194,0.231726,35.2702,33.7654,76.1709,60.6954,103.933,110.574,204.804,181.054,319.101,357.736,378.581,447.336,478.45,483.718,521.086
1657905600,0.964397,5.85116,-4.06531,113.505,0.231726,84.1625,44.0461,45.9332,1.11532,0.576931,0.231726,11.5326,0.231726,24.0226,19.1557,45.965,26.4601,62.4836,61.2236,161.732,130.845,259.839,296.973,320.818,410.572,460.603,475.435,518.795
1657906200,0.896546,5.07137,-5.01892,100.906,0.231726,66.8701,38.421,34.1019,0.377908,0.352703,0.231726,7.76934,0.231726,30.5145,26.8651,65.9299,41.5872,84.4808,86.0299,183.032,153.077,286.461,326.189,348.8,431.267,471.514,480.62,520.563
1657906800,2.64456,5.60643,-3.67312,88.4148,0.231726,53.5053,21.5469,18.9763,0.231726,0.249411,0.231726,21.6988,0.231726,37.5568,36.1204,81.0468,69.1014,107.143,110.788,212.552,185.998,325.477,364.434,385.326,448.042,474.875,475.009,514.004
1657907400,1.88355,5.08581,-4.69686,83.3305,0.231726,52.2603,23.3808,17.7122,0.231726,0.231726,0.231726,22.394,0.231726,37.8152,38.0618,85.0565,74.447,115.777,119.93,220.601,192.04,330.512,367.22,388.578,446.805,471.554,471.137,511.292
1657908000,2.43645,4.26749,-5.29497,88.6572,0.231726,54.8327,23.8586,20.9871,0.231726,0.231726,0.231726,18.5818,0.231726,32.6716,31.6921,73.9328,61.4769,101.808,106.885,203.202,179.547,316.816,354.786,374.586,440.059,469.257,469.858,509.587
1657908600,2.10715,3.33374,-5.81268,78.4363,0.231726,46.5149,17.5175,17.7238,0.231726,0.231726,0.231726,24.5487,0.231726,40.796,45.2444,92.0272,80.8298,121.781,129.397,231.525,201.719,341.276,377.521,392.775,448.316,472.56,473.027,513.768
1657909200,0.513521,6.70073,-2.1957,119.018,0.231726,91.346,51.3847,51.2133,1.43452,1.13727,0.231726,11.4456,0.231726,25.6356,19.4801,50.2821,25.5399,60.8394,58.749,159.289,125.525,253.654,290.413,313.309,406.748,457.034,471.654,515.202
1657909800,0.318569,7.04058,-0.46827,117.45,0.231726,93.4265,51.6599,53.6013,1.34559,1.21488,0.231726,6.38203,0.231726,27.431,22.0454,54.5029,25.4051,60.8456,56.535,157.672,120.04,251.175,285.613,306.363,402.3,456.112,471.78,518.456
1657910400,0.295024,5.53856,-4.48608,86.9219,0.231726,52.5761,19.4414,20.6709,0.231726,0.231726,0.231726,22.0596,0.231726,37.95,37.0807,83.1162,69.8854,111.745,115.791,214.622,189.976,331.042,368.713,390.383,451.738,479.4,479.676,515.425
1657911000,1.67596,6.16757,-3.28551,88.6787,0.231726,55.4116,24.4718,21.8987,0.231726,0.231726,0.231726,21.8533,0.231726,36.6676,35.7639,80.0847,66.3292,108.725,114.715,213.055,188.556,326.666,365.711,385.704,449.05,477.007,477.811,517.319
1657911600,1.19137,6.9359,-1.95194,109.808,0.231726,81.1752,44.5359,45.8491,0.967032,0.667776,0.231726,9.56476,0.231726,27.3237,22.5931,57.323,31.5125,71.6209,70.395,169.449,137.225,267.474,305.267,328.169,417.607,464.344,475.901,518.526
1657912200,1.54468,6.63905,-2.82556,113.022,0.231726,81.4586,44.8787,45.6044,0.954252,0.648956,0.231726,4.91862,0.231726,25.2546,19.5791,47.5876,27.3384,64.5026,63.7953,165.705,134.747,264.481,303.407,325.413,413.908,460.592,475.545,520.195
1657912800,0.230548,6.81448,-2.69703,112.93,0.231726,81.2741,42.5971,43.2236,0.67871,0.492532,0.231726,9.11557,0.231726,24.4453,20.0307,50.5725,28.8872,67.9283,67.919,167.347,137.022,267.998,307.351,332.445,420.057,464.771,473.592,514.199
1657913400,2.40029,6.61463,-2.57415,114.314,0.231726,87.7198,48.3951,48.8507,1.10295,0.817647,0.231726,5.34446,0.231726,25.3823,20.0963,49.2139,25.5422,61.0006,57.6891,159.524,124.982,254.062,289.273,309.182,400.631,452.943,469.366,516.058
1657914000,0.844479,7.21183,-1.6035,114.438,0.231726,87.5367,48.488,49.5256,1.09968,0.955852,0.231726,5.08891,0.231726,27.4827,20.9916,51.6043,26.6801,63.5421,61.1983,162.461,128.719,256.875,294.349,317.828,409.912,460.915,476.381,518.23
1657914600,0.926094,7.14233,-0.928072,116.532,0.231726,89.8155,49.4001,51.6067,1.19122,1.07839,0.231726,2.98047,0.231726,25.5588,19.6728,46.2877,23.9914,58.5656,52.9731,157.324,123.411,252.854,288.152,312.686,408.093,459.957,475.772,521.044
1657915200,0.251197,7.09761,0.0913173,102.845,0.231726,69.4265,40.8158,40.3759,0.439872,0.385739,0.231726,2.92475,0.231726,30.7723,27.0187,64.1249,37.0919,80.9992,81.4377,181.49,149.73,282.852,320.964,345.335,429.345,471.771,479.463,517.178
1657915800,-0.0184423,6.84448,-2.26929,114.889,0.231726,89.2482,50.8138,53.1814,1.21285,1.25517,0.231726,6.10721,0.231726,27.3448,20.7623,49.7332,24.7985,59.361,54.497,156.111,120.152,248.211,281.851,303.865,398.632,453.131,471.474,516.667
1657916400,0.582015,6.99523,-1.32704,119.216,0.231726,91.4277,49.9344,50.7226,1.25008,1.09824,0.231726,10.2898,0.231726,22.9586,17.3195,40.994,22.1405,54.4547,46.9585,151.974,117.565,245.926,281.806,303.997,399.986,454.715,470.691,516.065
1657917000,-0.0578088,6.81754,-1.64296,106.772,0.231726,79.4015,43.3029,43.2915,0.666217,0.635713,0.231726,8.67974,0.231726,29.0388,24.3505,59.5004,32.8273,75.031,73.9165,172.975,140.846,270.037,306.948,330.969,418.144,464.755,475.364,518.369
1657917600,0.581589,6.80316,-1.56865,104.604,0.231726,77.8413,41.3626,43.1786,0.542173,0.499967,0.231726,8.66209,0.231726,30.9118,26.6311,64.0991,36.6021,80.2478,81.2563,180.567,150.165,284.732,320.624,345.577,429.514,471.551,479.983,520.173
1657918200,-0.177145,6.84742,-1.17947,96.4637,0.231726,61.2986,21.0893,22.5766,0.237301,0.445316,0.231726,7.16272,0.231726,36.558,34.1208,76.2273,54.4586,94.8813,97.3793,198.28,167.668,308.607,345.624,366.052,442.539,479.557,483.502,517.716
1657918800,-0.930148,6.12102,-3.26819,101.451,0.231726,61.6856,37.4215,34.3205,0.31683,0.339784,0.231726,16.4814,0.231726,31.0065,27.6798,64.8181,40.1832,85.9541,87.1315,184.568,157.143,293.678,335.171,360.571,437.858,473.552,477.229,514.73
1657919400,-1.06006,6.85427,-0.0539352,107.129,0.231726,78.7837,44.7338,44.1001,0.67646,0.642449,0.231726,5.38941,0.231726,29.2734,25.5632,61.0209,34.155,74.5802,76.1076,175.635,144.824,277.858,316.286,339.192,425.736,467.405,474.528,514.252
1657920000,-0.473009,6.59788,-0.578446,88.6675,0.231726,54.3536,20.4214,19.623,0.231726,0.231726,0.231726,15.1969,0.231726,35.0246,33.4637,75.4102,58.4802,102.436,109.134,209.472,183.102,321.311,360.312,384.054,451.306,479.987,481.083,515.839
1657920600,-0.974299,5.36595,-3.47732,85.4306,0.231726,54.3355,17.5281,18.8071,0.231726,0.231726,0.231726,21.5842,0.231726,36.1692,35.5673,80.0122,65.7599,107.81,113.496,212.371,187.459,326.284,363.96,386.127,454.293,481.188,479.66,515.166
1657921200,-2.47128,6.47839,0.495471,92.8905,0.231726,58.3102,30.1659,23.3862,0.231726,0.231726,0.231726,20.0961,0.231726,33.9481,32.8759,75.1817,59.9252,102.1,106.49,202.859,181.543,318.702,357.195,378.018,447.544,474.889,472.893,508.557
1657921800,-2.15729,6.35174,-1.58533,87.2731,0.231726,54.3159,18.9778,19.9056,0.231726,0.231726,0.231726,19.8662,0.231726,36.5453,35.597,80.0585,65.6117,106.672,111.081,214.305,187.919,328.067,367.504,389.038,454.216,480.946,478.111,511.484
1657922400,-3.57476,5.06651,-2.87841,81.7454,0.231726,50.0795,18.3783,18.829,0.231726,0.231726,0.231726,23.1506,0.231726,38.9415,41.6757,87.9807,76.7758,120.251,129.053,232.085,203.284,344.546,380.775,396.47,452.589,475.166,470.874,505.095
1657923000,-0.0768862,6.87846,-0.61401,99.8172,0.231726,63.4946,35.3971,30.2385,0.456488,0.367943,0.231726,17.8709,0.231726,33.4987,30.978,70.5199,50.1436,92.559,95.2369,192.321,162.991,298.454,337.658,357.887,436.216,474.389,479.2,516.048
1657923600,-1.26512,4.02409,-5.10189,91.9865,0.231726,56.2715,31.1873,24.0581,0.231726,0.231726,0.231726,18.9703,0.231726,33.4986,33.0094,76.3291,61.3073,102.716,109.161,205.468,182.121,319.217,359.195,380.284,447.31,476.806,476.959,511.32
1657924200,-2.44678,5.73795,-2.75415,89.0177,0.231726,53.6436,26.0248,23.1923,0.231726,0.231726,0.231726,21.1492,0.231726,36.0799,35.5992,79.305,65.7362,107.841,112.549,210.057,188.231,327.742,367.352,388.523,450.247,476.573,473.495,507.62
1657924800,-0.313077,6.51958,-0.841153,90.6835,0.231726,56.3686,29.4063,24.2676,0.231726,0.231726,0.231726,19.7984,0.231726,34.2778,33.137,76.5266,61.9643,103.321,108.621,205.649,182.349,321.659,360.314,383.116,449.821,478.911,479.357,514.564
1657925400,-1.64689,6.41933,-1.42831,87.4578,0.231726,52.9199,21.5244,22.0059,0.231726,0.231726,0.231726,17.1355,0.231726,34.4614,33.2154,76.5258,59.483,102.825,108.188,205.665,181.014,320.097,358.557,381.316,451.671,481.109,481.751,515.817
1657926000,-2.8195,6.12285,-0.799466,91.038,0.231726,58.0159,22.0609,20.4633,0.231726,0.24297,0.231726,22.021,0.231726,36.5204,35.0007,79.4458,64.7111,105.999,110.581,210.987,183.788,321.182,359.463,380.503,448.334,477.339,476.939,510.809
1657926600,-3.52689,5.51104,-0.579261,85.6,0.231726,52.8604,23.7471,21.1031,0.231726,0.231726,0.231726,21.3395,0.231726,36.3161,35.9434,80.6076,66.6662,109.592,115.5,213.927,189.629,329.293,367.031,387.681,451.085,476.407,472.389,509.067
1657927200,-3.38326,4.95502,-2.97107,87.2257,0.231726,53.4315,21.5858,21.683,0.231726,0.231726,0.231726,22.4133,0.231726,37.5118,37.4518,83.6929,70.1899,112.112,118.723,218.855,191.256,330.465,369.2,389.351,451.983,476.71,472.992,508.162
1657927800,1.05376,6.46861,-0.531241,91.6507,0.231726,55.7479,22.9548,22.6863,0.231726,0.231726,0.231726,22.4561,0.231726,36.1444,35.2349,78.7356,62.8708,105.122,108.696,204.336,180.393,318.973,356.862,376.727,445.477,474.785,475.471,513.045
1657928400,0.304281,6.27473,-2.53264,87.5739,0.231726,56.7917,16.4698,24.5199,0.231726,0.326646,0.231726,20.9461,0.231726,38.1708,37.1856,83.2362,68.5905,109.391,112.498,211.574,182.384,319.141,357.285,378.072,448.439,478.923,481.918,517.139
1657929000,-0.025663,6.17758,-2.55924,78.6434,0.231726,50.4618,11.7246,6.96534,0.231726,0.231726,0.231726,17.9237,0.231726,38.8334,38.7991,85.4595,72.2631,113.351,119.954,223.111,192.983,336.332,376.092,397.185,458.476,483.155,485.058,517.456
1657929600,-1.2053,5.51064,-3.5031,82.1947,0.231726,53.4435,20.7419,21.3786,0.231726,0.231726,0.231726,23.4461,0.231726,38.9295,38.5018,86.38,72.2241,114.463,121.199,223.029,194.187,334.696,374.669,394.722,455.545,481.672,478.522,510.075
1657930200,-1.53601,5.42616,-3.55238,83.2427,0.231726,51.3769,19.0309,19.8732,0.231726,0.231726,0.231726,22.6008,0.231726,37.3271,37.2689,83.9096,70.9097,113.459,118.561,217.384,191.585,333.525,374.074,394.276,455.326,481.412,477.535,509.944
1657930800,-1.05949,3.67738,-5.14838,84.3998,0.231726,53.9474,20.9497,13.667,0.231726,0.278783,0.231726,23.6566,0.231726,38.2076,37.8746,84.5512,70.8746,111.793,117.149,218.851,190.123,331.591,371.064,390.483,455.43,482.849,482.53,514.61
1657931400,-1.72478,6.05806,-0.500561,90.7828,0.231726,60.193,4.43403,4.44129,0.511548,0.832556,0.231726,28.8576,0.231726,50.6453,41.61,89.8494,72.1273,111.795,114.135,217.201,180.102,319.105,355.788,376.527,446.707,477.792,477.612,511.062
1657932000,-2.30673,5.80633,-0.935026,91.0417,0.231726,57.5111,24.1859,23.7781,0.231726,0.269617,0.231726,17.6762,0.231726,37.0918,35.3511,79.5509,62.8977,103.343,107.181,206.397,178.155,314.237,352.517,373.666,445.567,475.614,476.718,510.914
1657932600,-1.42865,6.07347,0.402282,97.9932,0.231726,64.721,37.575,32.775,0.374292,0.363167,0.231726,16.9929,0.231726,32.5325,29.7577,69.8393,46.946,91.6869,95.1723,193.355,167.792,304.18,343.109,366.365,439.386,472.807,474.914,511.659
1657933200,0.582569,6.4005,0.215583,89.0782,0.231726,55.4649,20.9739,19.5052,0.231726,0.262328,0.231726,24.9736,0.231726,38.6771,38.0394,86.3727,72.5096,113.785,118.964,220.165,189.3,328.623,363.87,381.9,449.33,478.489,479.903,515.473
1657933800,1.29234,6.56614,0.0900213,87.2317,0.231726,53.7182,13.1736,17.0851,0.231726,0.235186,0.231726,16.6372,0.231726,38.2252,37.2116,82.8236,68.0702,108.828,111.194,211.684,179.107,314.687,351.405,371.678,445.32,477.814,481.669,520.831
1657934400,-0.125033,6.4849,-0.242239,88.9447,0.231726,56.1441,22.0715,18.2717,0.274386,0.247868,0.231726,14.7393,0.231726,37.2463,36.0429,83.3132,66.8562,108.199,113.827,216.45,187.567,326.688,366.754,387.86,452.276,481.229,482.933,517.185
1657935000,-0.0882061,5.814,-3.08266,79.1094,0.231726,50.7508,8.63296,3.93119,0.231726,0.269006,0.231726,26.0899,0.231726,41.3641,41.8252,90.6357,76.6356,118.708,123.674,226.543,196.108,339.15,375.593,394.993,457.34,483.049,481.942,516.709
1657935600,0.272506,6.43442,-1.39253,76.0378,0.231726,53.9737,3.88113,3.69089,0.231726,0.679851,0.231726,29.4376,0.231726,58.934,50.5719,99.8929,86.2641,126.182,130.567,236.7,203.766,346.332,380.781,397.786,456.347,482.16,482.132,514.765
1657936200,-0.923169,6.19996,-1.98557,70.5852,0.231726,5.85987,3.19643,3.90866,1.11125,1.75353,0.231726,42.2889,0.231726,82.5337,80.2001,120.229,104.652,143.09,147.058,254.962,212.981,356.889,389.673,402.133,457.083,477.603,471.275,499.971
1657936800,-0.581047,6.04352,-2.07937,74.093,0.231726,49.7083,7.22504,3.90156,0.231726,0.246564,0.231726,11.1574,0.231726,40.9198,40.2638,87.5822,73.8982,113.952,119.107,220.618,190.1,329.673,368.041,389.641,454.028,483.417,482.335,514.484
1657937400,-3.01675,4.91899,-2.8639,66.2023,0.231726,45.0166,3.6901,3.17084,0.231726,0.231726,0.231726,25.7002,0.231726,42.6269,43.0839,94.5865,83.874,125.049,132.714,239.617,208.431,352.428,389.862,406.062,458.413,478.762,472.317,502.548
1657938000,-3.00913,4.2553,-3.81755,57.5026,0.231726,34.1585,2.81612,2.43393,0.231726,0.231726,0.231726,25.5555,0.231726,42.9416,44.4809,97.1401,85.1858,127.592,134.221,242.768,212.462,358.554,396.086,410.968,464.847,483.997,476.805,506.724
1657938600,-2.62673,5.65784,-1.07686,53.3286,0.231726,22.9882,1.92207,1.89041,0.231726,0.455432,0.231726,32.9059,0.231726,71.7631,74.1044,117.163,108.941,149.52,158.157,269.935,233.165,382.383,414.468,424.856,470.786,487.304,477.902,506.493
1657939200,-1.35637,6.15266,-1.58411,60.5826,0.231726,29.898,2.59165,2.84454,0.231726,0.598356,0.231726,32.5975,0.231726,67.8313,67.4409,110.318,96.6985,137.45,144.595,254.729,216.701,363.153,400.134,413.928,467.264,487.425,480.844,508.813
1657939800,-0.465417,5.90488,-2.47526,59.1728,0.231726,28.9884,2.25439,2.41739,0.231726,0.796488,0.231726,34.5955,0.231726,71.9244,71.9375,114.47,102.268,142.782,147.88,256.971,217.516,364.027,397.79,410.567,464.472,487.611,484.416,515.59
1657940400,-2.43709,5.71925,-1.51062,63.54,0.231726,47.689,3.58557,3.27658,0.231726,0.383435,0.231726,29.2073,0.231726,57.6277,54.5883,102.17,90.687,131.721,137.87,246.97,212.595,358.228,394.743,409.793,464.412,485.216,482.215,511.048
